timestamp,elapsed_seconds,temperature_c,humidity_percent
2026-07-31T16:19:11,0.0,21.1,53.0
2026-07-31T16:19:12,1.0,21.1,53.0
2026-07-31T16:19:14,3.0,21.1,53.0
2026-07-31T16:19:16,5.1,21.1,53.0
2026-07-31T16:19:18,7.1,21.1,53.0
2026-07-31T16:19:20,9.1,21.1,53.0
2026-07-31T16:19:22,11.1,21.1,53.0
2026-07-31T16:19:24,13.2,21.1,53.0
2026-07-31T16:19:26,15.2,21.1,53.0
2026-07-31T16:19:28,17.2,21.1,53.0
2026-07-31T16:19:30,19.2,21.1,53.0
2026-07-31T16:19:32,21.3,21.1,53.0
2026-07-31T16:19:34,23.3,21.1,53.0
2026-07-31T16:19:36,25.3,21.1,53.0
2026-07-31T16:19:38,27.3,21.1,52.0
2026-07-31T16:19:40,29.4,21.1,52.0
2026-07-31T16:19:42,31.4,21.1,52.0
2026-07-31T16:19:44,33.4,21.1,52.0
2026-07-31T16:19:46,35.4,21.0,52.0
2026-07-31T16:19:48,37.5,21.0,52.0
2026-07-31T16:19:50,39.5,21.0,52.0
2026-07-31T16:19:52,41.5,21.0,52.0
2026-07-31T16:19:55,43.5,21.0,52.0
2026-07-31T16:19:57,45.6,21.0,52.0
2026-07-31T16:19:59,47.6,21.1,52.0
2026-07-31T16:20:01,49.6,21.1,52.0
2026-07-31T16:20:03,51.7,21.1,52.0
2026-07-31T16:20:05,53.7,21.0,52.0
2026-07-31T16:20:07,55.7,21.0,52.0
2026-07-31T16:20:09,57.7,21.0,52.0
2026-07-31T16:20:11,59.8,21.0,52.0
2026-07-31T16:20:13,61.8,21.0,52.0
2026-07-31T16:20:15,63.8,21.0,52.0
2026-07-31T16:20:17,65.8,21.0,52.0
2026-07-31T16:20:19,67.9,21.0,52.0
2026-07-31T16:20:21,69.9,21.0,52.0
2026-07-31T16:20:23,71.9,21.0,52.0
2026-07-31T16:20:25,73.9,21.0,52.0
2026-07-31T16:20:27,76.0,21.0,52.0
2026-07-31T16:20:29,78.0,21.0,52.0
2026-07-31T16:20:31,80.0,21.0,52.0
2026-07-31T16:20:33,82.0,21.0,52.0
2026-07-31T16:20:35,84.1,21.0,52.0
2026-07-31T16:20:37,86.1,21.0,52.0
2026-07-31T16:20:39,88.1,21.0,52.0
2026-07-31T16:20:41,90.1,21.0,52.0
2026-07-31T16:20:43,92.2,21.0,52.0
2026-07-31T16:20:45,94.2,21.0,52.0
2026-07-31T16:20:47,96.2,21.0,52.0
2026-07-31T16:20:49,98.2,21.0,52.0
2026-07-31T16:20:51,100.3,21.0,52.0
2026-07-31T16:20:53,102.3,21.0,52.0
2026-07-31T16:20:55,104.3,21.0,52.0
2026-07-31T16:20:57,106.3,21.0,52.0
2026-07-31T16:20:59,108.4,21.0,52.0
2026-07-31T16:21:01,110.4,21.0,52.0
2026-07-31T16:21:03,112.4,21.0,52.0
2026-07-31T16:21:05,114.4,21.0,52.0
2026-07-31T16:21:07,116.5,21.0,52.0
2026-07-31T16:21:09,118.5,21.0,52.0
2026-07-31T16:21:11,120.5,21.0,52.0
2026-07-31T16:21:14,122.5,21.0,52.0
2026-07-31T16:21:16,124.6,21.0,52.0
2026-07-31T16:21:18,126.6,21.0,52.0
2026-07-31T16:21:20,128.6,21.0,52.0
2026-07-31T16:21:22,130.6,21.0,52.0
2026-07-31T16:21:24,132.7,21.0,52.0
2026-07-31T16:21:26,134.7,21.0,52.0
2026-07-31T16:21:28,136.7,21.0,52.0
2026-07-31T16:21:30,138.8,21.0,52.0
2026-07-31T16:21:32,140.8,21.0,52.0
2026-07-31T16:21:34,142.8,21.0,52.0
2026-07-31T16:21:36,144.8,21.0,52.0
2026-07-31T16:21:38,146.9,21.0,52.0
2026-07-31T16:21:40,148.9,21.0,52.0
2026-07-31T16:21:42,150.9,20.9,52.0
2026-07-31T16:21:44,152.9,21.0,52.0
2026-07-31T16:21:46,155.0,20.9,52.0
2026-07-31T16:21:48,157.0,21.0,52.0
2026-07-31T16:21:50,159.0,21.0,53.0
2026-07-31T16:21:52,161.0,21.0,54.0
2026-07-31T16:21:54,163.1,21.0,55.0
2026-07-31T16:21:56,165.1,21.0,57.0
2026-07-31T16:21:58,167.1,21.0,58.0
2026-07-31T16:22:00,169.1,21.0,59.0
2026-07-31T16:22:02,171.2,21.1,59.0
2026-07-31T16:22:04,173.2,21.1,58.0
2026-07-31T16:22:06,175.2,21.1,58.0
2026-07-31T16:22:08,177.2,21.1,57.0
2026-07-31T16:22:10,179.3,21.1,57.0
2026-07-31T16:22:12,181.3,21.1,56.0
2026-07-31T16:22:14,183.3,21.1,56.0
2026-07-31T16:22:16,185.3,21.1,56.0
2026-07-31T16:22:18,187.4,21.1,55.0
2026-07-31T16:22:20,189.4,21.1,55.0
2026-07-31T16:22:22,191.4,21.1,55.0
2026-07-31T16:22:24,193.4,21.1,54.0
2026-07-31T16:22:26,195.5,21.1,54.0
2026-07-31T16:22:28,197.5,21.1,54.0
2026-07-31T16:22:30,199.5,21.1,54.0
2026-07-31T16:22:33,201.5,21.1,54.0
2026-07-31T16:22:35,203.6,21.1,54.0
2026-07-31T16:22:37,205.6,21.1,53.0
2026-07-31T16:22:39,207.6,21.1,53.0
2026-07-31T16:22:41,209.6,21.1,53.0
2026-07-31T16:22:43,211.7,21.1,53.0
2026-07-31T16:22:45,213.7,21.1,53.0
2026-07-31T16:22:47,215.7,21.0,53.0
2026-07-31T16:22:49,217.7,21.0,53.0
2026-07-31T16:22:51,219.8,21.0,53.0
2026-07-31T16:22:53,221.8,21.0,53.0
2026-07-31T16:22:55,223.8,21.0,53.0
2026-07-31T16:22:57,225.9,21.0,53.0
2026-07-31T16:22:59,227.9,21.0,53.0
2026-07-31T16:23:01,229.9,21.0,53.0
2026-07-31T16:23:03,231.9,21.0,53.0
2026-07-31T16:23:05,234.0,21.0,53.0
2026-07-31T16:23:07,236.0,21.0,53.0
2026-07-31T16:23:09,238.0,21.0,53.0
2026-07-31T16:23:11,240.0,21.0,52.0
2026-07-31T16:23:13,242.1,21.0,52.0
2026-07-31T16:23:15,244.1,21.0,52.0
2026-07-31T16:23:17,246.1,21.0,52.0
2026-07-31T16:23:19,248.1,21.0,52.0
2026-07-31T16:23:21,250.2,21.0,52.0
2026-07-31T16:23:23,252.2,21.0,52.0
2026-07-31T16:23:25,254.2,21.0,52.0
2026-07-31T16:23:27,256.2,21.0,52.0
2026-07-31T16:23:29,258.3,21.0,52.0
2026-07-31T16:23:31,260.3,21.0,52.0
2026-07-31T16:23:33,262.3,21.0,52.0
2026-07-31T16:23:35,264.3,21.0,52.0
2026-07-31T16:23:37,266.4,21.0,52.0
2026-07-31T16:23:39,268.4,21.0,52.0
2026-07-31T16:23:41,270.4,21.0,52.0
2026-07-31T16:23:43,272.4,21.0,52.0
2026-07-31T16:23:45,274.5,21.0,52.0
2026-07-31T16:23:47,276.5,21.0,52.0
2026-07-31T16:23:49,278.5,21.0,52.0
2026-07-31T16:23:51,280.5,21.0,52.0
2026-07-31T16:23:54,282.6,21.0,52.0
2026-07-31T16:23:56,284.6,21.0,52.0
2026-07-31T16:23:58,286.6,21.0,52.0
2026-07-31T16:24:00,288.6,21.0,52.0
2026-07-31T16:24:02,290.7,21.0,52.0
2026-07-31T16:24:04,292.7,21.0,52.0
2026-07-31T16:24:06,294.7,21.0,52.0
2026-07-31T16:24:08,296.7,20.9,52.0
2026-07-31T16:24:10,298.8,20.9,52.0
2026-07-31T16:24:12,300.8,20.9,52.0
2026-07-31T16:24:14,302.8,20.9,52.0
2026-07-31T16:24:16,304.8,20.9,52.0
2026-07-31T16:24:18,306.9,20.9,52.0
2026-07-31T16:24:20,308.9,20.9,52.0
2026-07-31T16:24:22,310.9,20.9,52.0
2026-07-31T16:24:24,312.9,20.9,52.0
2026-07-31T16:24:26,315.0,20.9,52.0
2026-07-31T16:24:28,317.0,20.9,52.0
2026-07-31T16:24:30,319.0,20.9,52.0
2026-07-31T16:24:32,321.1,20.9,52.0
2026-07-31T16:24:34,323.1,20.9,52.0
2026-07-31T16:24:36,325.1,20.9,52.0
2026-07-31T16:24:38,327.1,20.9,52.0
2026-07-31T16:24:40,329.2,20.9,52.0
2026-07-31T16:24:42,331.2,20.9,52.0
2026-07-31T16:24:44,333.2,20.9,52.0
2026-07-31T16:24:46,335.2,20.9,52.0
